topic,category,definition,is_topic_relevant,did_participant_mention_this,ID,design,ID2,order
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,1,s9,Decluttered,9,1
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s10,Decluttered,10,4
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s11,Cluttered,11,5
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s12,Decluttered,12,1
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s14,Cluttered,14,6
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s15,Focused,15,3
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s16,Decluttered,16,4
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s17,Cluttered,17,5
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s18,Decluttered,18,1
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s19,Decluttered,19,4
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s21,Focused,21,3
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s28,Focused,28,2
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s29,Focused,29,2
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s30,Focused,30,2
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s31,Focused,31,2
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s32,Cluttered,32,5
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s33,Cluttered,33,6
CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s34,Decluttered,34,1
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s1,Decluttered,1,4
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s2,Focused,2,3
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s4,Cluttered,4,6
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s5,Focused,5,3
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s7,Cluttered,7,5
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s8,Cluttered,8,6
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s9,Decluttered,9,1
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s10,Decluttered,10,4
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s11,Cluttered,11,5
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s12,Decluttered,12,1
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s14,Cluttered,14,6
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s15,Focused,15,3
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s16,Decluttered,16,4
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s17,Cluttered,17,5
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s18,Decluttered,18,1
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s19,Decluttered,19,4
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s21,Focused,21,3
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s28,Focused,28,2
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s29,Focused,29,2
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s30,Focused,30,2
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s31,Focused,31,2
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s32,Cluttered,32,5
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s33,Cluttered,33,6
CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s34,Decluttered,34,1
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s1,Decluttered,1,5
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s2,Focused,2,2
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s4,Cluttered,4,3
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s5,Focused,5,2
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s7,Cluttered,7,1
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s8,Cluttered,8,3
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s9,Focused,9,4
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s10,Decluttered,10,5
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s11,Cluttered,11,1
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s12,Focused,12,4
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s14,Cluttered,14,3
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s15,Focused,15,2
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s16,Decluttered,16,5
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s17,Cluttered,17,1
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s18,Focused,18,4
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s19,Decluttered,19,5
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s21,Focused,21,2
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s28,Decluttered,28,6
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s29,Decluttered,29,6
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s30,Decluttered,30,6
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s31,Decluttered,31,6
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s32,Cluttered,32,1
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s33,Cluttered,33,3
PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s34,Focused,34,4
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s1,Cluttered,1,6
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s2,Decluttered,2,1
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s4,Focused,4,5
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s5,Decluttered,5,1
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s7,Decluttered,7,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s8,Focused,8,5
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s9,Focused,9,2
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s10,Cluttered,10,6
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s11,Decluttered,11,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s12,Focused,12,2
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s14,Focused,14,5
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s15,Decluttered,15,1
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s16,Cluttered,16,6
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s17,Decluttered,17,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s18,Focused,18,2
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s19,Cluttered,19,6
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s21,Decluttered,21,1
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s28,Cluttered,28,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s29,Cluttered,29,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s30,Cluttered,30,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s31,Cluttered,31,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s32,Decluttered,32,3
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s33,Focused,33,5
TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s34,Focused,34,2
TIRES,Convergence,Mentions that tire prices converge,1,0,s1,Cluttered,1,6
TIRES,Convergence,Mentions that tire prices converge,1,0,s2,Decluttered,2,1
TIRES,Convergence,Mentions that tire prices converge,1,0,s4,Focused,4,5
TIRES,Convergence,Mentions that tire prices converge,1,0,s5,Decluttered,5,1
TIRES,Convergence,Mentions that tire prices converge,1,0,s7,Decluttered,7,3
TIRES,Convergence,Mentions that tire prices converge,1,0,s8,Focused,8,5
TIRES,Convergence,Mentions that tire prices converge,1,1,s9,Focused,9,2
TIRES,Convergence,Mentions that tire prices converge,1,0,s10,Cluttered,10,6
TIRES,Convergence,Mentions that tire prices converge,1,0,s11,Decluttered,11,3
TIRES,Convergence,Mentions that tire prices converge,1,1,s12,Focused,12,2
TIRES,Convergence,Mentions that tire prices converge,1,1,s14,Focused,14,5
TIRES,Convergence,Mentions that tire prices converge,1,0,s15,Decluttered,15,1
TIRES,Convergence,Mentions that tire prices converge,1,0,s16,Cluttered,16,6
TIRES,Convergence,Mentions that tire prices converge,1,0,s17,Decluttered,17,3
TIRES,Convergence,Mentions that tire prices converge,1,0,s18,Focused,18,2
TIRES,Convergence,Mentions that tire prices converge,1,0,s19,Cluttered,19,6
TIRES,Convergence,Mentions that tire prices converge,1,0,s21,Decluttered,21,1
TIRES,Convergence,Mentions that tire prices converge,1,0,s28,Cluttered,28,3
TIRES,Convergence,Mentions that tire prices converge,1,0,s29,Cluttered,29,3
TIRES,Convergence,Mentions that tire prices converge,1,0,s30,Cluttered,30,3
TIRES,Convergence,Mentions that tire prices converge,1,1,s31,Cluttered,31,3
TIRES,Convergence,Mentions that tire prices converge,1,0,s32,Decluttered,32,3
TIRES,Convergence,Mentions that tire prices converge,1,1,s33,Focused,33,5
TIRES,Convergence,Mentions that tire prices converge,1,1,s34,Focused,34,2
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s1,Focused,1,1
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s2,Decluttered,2,6
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s4,Decluttered,4,2
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s5,Decluttered,5,6
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s7,Focused,7,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s8,Decluttered,8,2
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s9,Cluttered,9,5
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s10,Focused,10,1
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s11,Focused,11,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,1,s12,Cluttered,12,5
HOLIDAY,December,Mentions December as one of the most common months to shop,0,1,s14,Decluttered,14,2
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s15,Decluttered,15,6
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s16,Focused,16,1
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s17,Focused,17,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s18,Cluttered,18,5
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s19,Focused,19,1
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s21,Decluttered,21,6
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s28,Cluttered,28,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s29,Cluttered,29,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s30,Cluttered,30,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s31,Cluttered,31,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s32,Focused,32,4
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s33,Decluttered,33,2
HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s34,Cluttered,34,5
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s1,Cluttered,1,6
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s2,Decluttered,2,1
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s4,Focused,4,5
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s5,Decluttered,5,1
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s7,Decluttered,7,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s8,Focused,8,5
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s9,Focused,9,2
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s10,Cluttered,10,6
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s11,Decluttered,11,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s12,Focused,12,2
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s14,Focused,14,5
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s15,Decluttered,15,1
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s16,Cluttered,16,6
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s17,Decluttered,17,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s18,Focused,18,2
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s19,Cluttered,19,6
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s21,Decluttered,21,1
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s28,Cluttered,28,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s29,Cluttered,29,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s30,Cluttered,30,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s31,Cluttered,31,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s32,Decluttered,32,3
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s33,Focused,33,5
TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s34,Focused,34,2
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s1,Focused,1,1
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s2,Decluttered,2,6
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s4,Decluttered,4,2
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s5,Decluttered,5,6
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s7,Focused,7,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s8,Decluttered,8,2
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s9,Cluttered,9,5
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s10,Focused,10,1
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s11,Focused,11,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s12,Cluttered,12,5
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s14,Decluttered,14,2
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s15,Decluttered,15,6
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s16,Focused,16,1
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s17,Focused,17,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s18,Cluttered,18,5
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s19,Focused,19,1
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s21,Decluttered,21,6
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s28,Cluttered,28,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s29,Cluttered,29,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s30,Cluttered,30,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s31,Cluttered,31,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s32,Focused,32,4
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s33,Decluttered,33,2
HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s34,Cluttered,34,5
PRISON,Display,Mentions the placement of bars in the graph,0,0,s1,Decluttered,1,5
PRISON,Display,Mentions the placement of bars in the graph,0,0,s2,Focused,2,2
PRISON,Display,Mentions the placement of bars in the graph,0,0,s4,Cluttered,4,3
PRISON,Display,Mentions the placement of bars in the graph,0,0,s5,Focused,5,2
PRISON,Display,Mentions the placement of bars in the graph,0,0,s7,Cluttered,7,1
PRISON,Display,Mentions the placement of bars in the graph,0,0,s8,Cluttered,8,3
PRISON,Display,Mentions the placement of bars in the graph,0,0,s9,Focused,9,4
PRISON,Display,Mentions the placement of bars in the graph,0,0,s10,Decluttered,10,5
PRISON,Display,Mentions the placement of bars in the graph,0,0,s11,Cluttered,11,1
PRISON,Display,Mentions the placement of bars in the graph,0,0,s12,Focused,12,4
PRISON,Display,Mentions the placement of bars in the graph,0,0,s14,Cluttered,14,3
PRISON,Display,Mentions the placement of bars in the graph,0,0,s15,Focused,15,2
PRISON,Display,Mentions the placement of bars in the graph,0,0,s16,Decluttered,16,5
PRISON,Display,Mentions the placement of bars in the graph,0,0,s17,Cluttered,17,1
PRISON,Display,Mentions the placement of bars in the graph,0,0,s18,Focused,18,4
PRISON,Display,Mentions the placement of bars in the graph,0,0,s19,Decluttered,19,5
PRISON,Display,Mentions the placement of bars in the graph,0,0,s21,Focused,21,2
PRISON,Display,Mentions the placement of bars in the graph,0,0,s28,Decluttered,28,6
PRISON,Display,Mentions the placement of bars in the graph,0,0,s29,Decluttered,29,6
PRISON,Display,Mentions the placement of bars in the graph,0,0,s30,Decluttered,30,6
PRISON,Display,Mentions the placement of bars in the graph,0,0,s31,Decluttered,31,6
PRISON,Display,Mentions the placement of bars in the graph,0,0,s32,Cluttered,32,1
PRISON,Display,Mentions the placement of bars in the graph,0,0,s33,Cluttered,33,3
PRISON,Display,Mentions the placement of bars in the graph,0,0,s34,Focused,34,4
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s1,Decluttered,1,5
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s2,Focused,2,2
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s4,Cluttered,4,3
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s5,Focused,5,2
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s7,Cluttered,7,1
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s8,Cluttered,8,3
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s9,Focused,9,4
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s10,Decluttered,10,5
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s11,Cluttered,11,1
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s12,Focused,12,4
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s14,Cluttered,14,3
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s15,Focused,15,2
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s16,Decluttered,16,5
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s17,Cluttered,17,1
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s18,Focused,18,4
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s19,Decluttered,19,5
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s21,Focused,21,2
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s28,Decluttered,28,6
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s29,Decluttered,29,6
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s30,Decluttered,30,6
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s31,Decluttered,31,6
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s32,Cluttered,32,1
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s33,Cluttered,33,3
PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s34,Focused,34,4
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s1,Focused,1,2
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s2,Cluttered,2,5
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s4,Decluttered,4,4
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s5,Cluttered,5,5
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s7,Focused,7,6
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s8,Decluttered,8,4
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s9,Cluttered,9,3
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s10,Focused,10,2
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s11,Focused,11,6
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s12,Cluttered,12,3
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s14,Decluttered,14,4
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s15,Cluttered,15,5
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s16,Focused,16,2
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s17,Focused,17,6
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s18,Cluttered,18,3
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s19,Focused,19,2
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s21,Cluttered,21,5
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s28,Decluttered,28,1
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s29,Decluttered,29,1
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s30,Decluttered,30,1
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s31,Decluttered,31,1
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s32,Focused,32,6
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s33,Decluttered,33,4
PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s34,Cluttered,34,3
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s1,Decluttered,1,4
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s2,Focused,2,3
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s4,Cluttered,4,6
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s5,Focused,5,3
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s7,Cluttered,7,5
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s8,Cluttered,8,6
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s9,Decluttered,9,1
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s10,Decluttered,10,4
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s11,Cluttered,11,5
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s12,Decluttered,12,1
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s14,Cluttered,14,6
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s15,Focused,15,3
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s16,Decluttered,16,4
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s17,Cluttered,17,5
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s18,Decluttered,18,1
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s19,Decluttered,19,4
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s21,Focused,21,3
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s28,Focused,28,2
CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s29,Focused,29,2
