,topic,category,definition,is_topic_relevant,did_participant_mention_this,ID,design,order
47,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s33,Cluttered,6
48,CAR,Change / Modification,"Mentions the need for modifying, changing, or fixing the concern(s)",0,0,s34,Decluttered,1
49,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s1,Decluttered,4
50,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s2,Focused,3
51,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s4,Cluttered,6
52,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s5,Focused,3
53,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s7,Cluttered,5
54,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s8,Cluttered,6
55,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s9,Decluttered,1
56,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s10,Decluttered,4
57,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s11,Cluttered,5
58,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s12,Decluttered,1
59,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s14,Cluttered,6
60,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s15,Focused,3
61,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s16,Decluttered,4
62,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s17,Cluttered,5
63,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s18,Decluttered,1
64,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s19,Decluttered,4
65,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s21,Focused,3
66,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s28,Focused,2
67,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s29,Focused,2
68,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s30,Focused,2
69,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s31,Focused,2
70,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s32,Cluttered,5
71,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,0,s33,Cluttered,6
72,CAR,Commonality,Mentions that there were some common / prevalent concerns,0,1,s34,Decluttered,1
73,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s1,Decluttered,5
74,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s2,Focused,2
75,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s4,Cluttered,3
76,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s5,Focused,2
77,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s7,Cluttered,1
78,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s8,Cluttered,3
79,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s9,Focused,4
80,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s10,Decluttered,5
81,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s11,Cluttered,1
82,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s12,Focused,4
83,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s14,Cluttered,3
84,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s15,Focused,2
85,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s16,Decluttered,5
86,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s17,Cluttered,1
87,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s18,Focused,4
88,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s19,Decluttered,5
89,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s21,Focused,2
90,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s28,Decluttered,6
91,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s29,Decluttered,6
92,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s30,Decluttered,6
93,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s31,Decluttered,6
94,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,1,s32,Cluttered,1
95,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s33,Cluttered,3
96,PRISON,Comparison,Mentions that the graph shows / compares different major reasons for imprisonment,0,0,s34,Focused,4
97,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s1,Cluttered,6
98,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s2,Decluttered,1
99,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s4,Focused,5
100,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s5,Decluttered,1
101,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s7,Decluttered,3
102,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s8,Focused,5
103,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s9,Focused,2
104,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s10,Cluttered,6
105,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s11,Decluttered,3
106,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s12,Focused,2
107,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s14,Focused,5
108,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s15,Decluttered,1
109,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s16,Cluttered,6
110,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s17,Decluttered,3
111,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s18,Focused,2
112,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s19,Cluttered,6
113,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s21,Decluttered,1
114,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s28,Cluttered,3
115,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s29,Cluttered,3
116,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,1,s30,Cluttered,3
117,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s31,Cluttered,3
118,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s32,Decluttered,3
119,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s33,Focused,5
120,TIRES,Competition,Mentions that tire prices are becoming more competitive,1,0,s34,Focused,2
121,TIRES,Convergence,Mentions that tire prices converge,1,0,s1,Cluttered,6
122,TIRES,Convergence,Mentions that tire prices converge,1,0,s2,Decluttered,1
123,TIRES,Convergence,Mentions that tire prices converge,1,0,s4,Focused,5
124,TIRES,Convergence,Mentions that tire prices converge,1,0,s5,Decluttered,1
125,TIRES,Convergence,Mentions that tire prices converge,1,0,s7,Decluttered,3
126,TIRES,Convergence,Mentions that tire prices converge,1,0,s8,Focused,5
127,TIRES,Convergence,Mentions that tire prices converge,1,1,s9,Focused,2
128,TIRES,Convergence,Mentions that tire prices converge,1,0,s10,Cluttered,6
129,TIRES,Convergence,Mentions that tire prices converge,1,0,s11,Decluttered,3
130,TIRES,Convergence,Mentions that tire prices converge,1,1,s12,Focused,2
131,TIRES,Convergence,Mentions that tire prices converge,1,1,s14,Focused,5
132,TIRES,Convergence,Mentions that tire prices converge,1,0,s15,Decluttered,1
133,TIRES,Convergence,Mentions that tire prices converge,1,0,s16,Cluttered,6
134,TIRES,Convergence,Mentions that tire prices converge,1,0,s17,Decluttered,3
135,TIRES,Convergence,Mentions that tire prices converge,1,0,s18,Focused,2
136,TIRES,Convergence,Mentions that tire prices converge,1,0,s19,Cluttered,6
137,TIRES,Convergence,Mentions that tire prices converge,1,0,s21,Decluttered,1
138,TIRES,Convergence,Mentions that tire prices converge,1,0,s28,Cluttered,3
139,TIRES,Convergence,Mentions that tire prices converge,1,0,s29,Cluttered,3
140,TIRES,Convergence,Mentions that tire prices converge,1,0,s30,Cluttered,3
141,TIRES,Convergence,Mentions that tire prices converge,1,1,s31,Cluttered,3
142,TIRES,Convergence,Mentions that tire prices converge,1,0,s32,Decluttered,3
143,TIRES,Convergence,Mentions that tire prices converge,1,1,s33,Focused,5
144,TIRES,Convergence,Mentions that tire prices converge,1,1,s34,Focused,2
145,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s1,Focused,1
146,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s2,Decluttered,6
147,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s4,Decluttered,2
148,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s5,Decluttered,6
149,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s7,Focused,4
150,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s8,Decluttered,2
151,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s9,Cluttered,5
152,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s10,Focused,1
153,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s11,Focused,4
154,HOLIDAY,December,Mentions December as one of the most common months to shop,0,1,s12,Cluttered,5
155,HOLIDAY,December,Mentions December as one of the most common months to shop,0,1,s14,Decluttered,2
156,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s15,Decluttered,6
157,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s16,Focused,1
158,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s17,Focused,4
159,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s18,Cluttered,5
160,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s19,Focused,1
161,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s21,Decluttered,6
162,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s28,Cluttered,4
163,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s29,Cluttered,4
164,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s30,Cluttered,4
165,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s31,Cluttered,4
166,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s32,Focused,4
167,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s33,Decluttered,2
168,HOLIDAY,December,Mentions December as one of the most common months to shop,0,0,s34,Cluttered,5
169,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s1,Cluttered,6
170,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s2,Decluttered,1
171,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s4,Focused,5
172,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s5,Decluttered,1
173,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s7,Decluttered,3
174,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s8,Focused,5
175,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s9,Focused,2
176,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s10,Cluttered,6
177,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s11,Decluttered,3
178,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s12,Focused,2
179,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s14,Focused,5
180,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s15,Decluttered,1
181,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s16,Cluttered,6
182,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s17,Decluttered,3
183,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s18,Focused,2
184,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s19,Cluttered,6
185,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s21,Decluttered,1
186,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s28,Cluttered,3
187,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s29,Cluttered,3
188,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s30,Cluttered,3
189,TIRES,Decrease,Mentions that certain tire prices have decreased,0,1,s31,Cluttered,3
190,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s32,Decluttered,3
191,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s33,Focused,5
192,TIRES,Decrease,Mentions that certain tire prices have decreased,0,0,s34,Focused,2
193,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s1,Focused,1
194,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s2,Decluttered,6
195,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s4,Decluttered,2
196,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s5,Decluttered,6
197,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s7,Focused,4
198,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s8,Decluttered,2
199,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s9,Cluttered,5
200,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s10,Focused,1
201,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s11,Focused,4
202,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s12,Cluttered,5
203,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s14,Decluttered,2
204,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s15,Decluttered,6
205,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s16,Focused,1
206,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s17,Focused,4
207,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s18,Cluttered,5
208,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s19,Focused,1
209,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s21,Decluttered,6
210,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s28,Cluttered,4
211,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s29,Cluttered,4
212,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s30,Cluttered,4
213,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s31,Cluttered,4
214,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s32,Focused,4
215,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,1,s33,Decluttered,2
216,HOLIDAY,Discrepancy,Mentions a specific difference either between genders or months,0,0,s34,Cluttered,5
217,PRISON,Display,Mentions the placement of bars in the graph,0,0,s1,Decluttered,5
218,PRISON,Display,Mentions the placement of bars in the graph,0,0,s2,Focused,2
219,PRISON,Display,Mentions the placement of bars in the graph,0,0,s4,Cluttered,3
220,PRISON,Display,Mentions the placement of bars in the graph,0,0,s5,Focused,2
221,PRISON,Display,Mentions the placement of bars in the graph,0,0,s7,Cluttered,1
222,PRISON,Display,Mentions the placement of bars in the graph,0,0,s8,Cluttered,3
223,PRISON,Display,Mentions the placement of bars in the graph,0,0,s9,Focused,4
224,PRISON,Display,Mentions the placement of bars in the graph,0,0,s10,Decluttered,5
225,PRISON,Display,Mentions the placement of bars in the graph,0,0,s11,Cluttered,1
226,PRISON,Display,Mentions the placement of bars in the graph,0,0,s12,Focused,4
227,PRISON,Display,Mentions the placement of bars in the graph,0,0,s14,Cluttered,3
228,PRISON,Display,Mentions the placement of bars in the graph,0,0,s15,Focused,2
229,PRISON,Display,Mentions the placement of bars in the graph,0,0,s16,Decluttered,5
230,PRISON,Display,Mentions the placement of bars in the graph,0,0,s17,Cluttered,1
231,PRISON,Display,Mentions the placement of bars in the graph,0,0,s18,Focused,4
232,PRISON,Display,Mentions the placement of bars in the graph,0,0,s19,Decluttered,5
233,PRISON,Display,Mentions the placement of bars in the graph,0,0,s21,Focused,2
234,PRISON,Display,Mentions the placement of bars in the graph,0,0,s28,Decluttered,6
235,PRISON,Display,Mentions the placement of bars in the graph,0,0,s29,Decluttered,6
236,PRISON,Display,Mentions the placement of bars in the graph,0,0,s30,Decluttered,6
237,PRISON,Display,Mentions the placement of bars in the graph,0,0,s31,Decluttered,6
238,PRISON,Display,Mentions the placement of bars in the graph,0,0,s32,Cluttered,1
239,PRISON,Display,Mentions the placement of bars in the graph,0,0,s33,Cluttered,3
240,PRISON,Display,Mentions the placement of bars in the graph,0,0,s34,Focused,4
241,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s1,Decluttered,5
242,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s2,Focused,2
243,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s4,Cluttered,3
244,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s5,Focused,2
245,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s7,Cluttered,1
246,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s8,Cluttered,3
247,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s9,Focused,4
248,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s10,Decluttered,5
249,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s11,Cluttered,1
250,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s12,Focused,4
251,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s14,Cluttered,3
252,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s15,Focused,2
253,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s16,Decluttered,5
254,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s17,Cluttered,1
255,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s18,Focused,4
256,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s19,Decluttered,5
257,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s21,Focused,2
258,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,1,s28,Decluttered,6
259,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s29,Decluttered,6
260,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s30,Decluttered,6
261,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s31,Decluttered,6
262,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s32,Cluttered,1
263,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s33,Cluttered,3
264,PRISON,Drug Offenses,Mentions drug offenses as a common reason for imprisonment,0,0,s34,Focused,4
265,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s1,Focused,2
266,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s2,Cluttered,5
267,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s4,Decluttered,4
268,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s5,Cluttered,5
269,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s7,Focused,6
270,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s8,Decluttered,4
271,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s9,Cluttered,3
272,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s10,Focused,2
273,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s11,Focused,6
274,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s12,Cluttered,3
275,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s14,Decluttered,4
276,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s15,Cluttered,5
277,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s16,Focused,2
278,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s17,Focused,6
279,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s18,Cluttered,3
280,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s19,Focused,2
281,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s21,Cluttered,5
282,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s28,Decluttered,1
283,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s29,Decluttered,1
284,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s30,Decluttered,1
285,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,1,s31,Decluttered,1
286,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s32,Focused,6
287,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s33,Decluttered,4
288,PLANTS,Endless Summer,Mentions that Endless Summer sells the best,0,0,s34,Cluttered,3
289,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s1,Decluttered,4
290,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s2,Focused,3
291,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s4,Cluttered,6
292,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s5,Focused,3
293,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s7,Cluttered,5
294,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s8,Cluttered,6
295,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s9,Decluttered,1
296,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s10,Decluttered,4
297,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s11,Cluttered,5
298,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s12,Decluttered,1
299,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s14,Cluttered,6
300,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s15,Focused,3
301,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s16,Decluttered,4
302,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s17,Cluttered,5
303,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s18,Decluttered,1
304,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s19,Decluttered,4
305,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s21,Focused,3
306,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,0,s28,Focused,2
307,CAR,Engine,Mentions the engine in general (not specifically noise or power),0,1,s29,Focused,2
